Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
ZIDOVUDINE;4.9;0.04;I;III;I;0.83;18.65;I
ACYCLOVIR;0.0;-2.42;III;III;III;4.0;2.5;III
IMATINIB;;4.53;;II;II;400.0;0.04;
AMILORIDE HYDROCHLORIDE;;-2.22;I;III;III;5.0;50.0;I
METOPROLOL TARTRATE;3.5;1.35;I;I;I;100.0;43.0;I
KETOPROFEN;19.1;2.76;;II;II;75.0;0.18;
SALICYLIC ACID;21.5;2.19;;I/III;I;300.0;2.51;
NORFLOXACIN;0.9;-0.78;;IV;IV;400.0;1.0;
METHYLDOPA;;-2.73;III;III;III;250.0;10.0;III
SOTALOL;2.9;0.226;;III;III;240.0;137.0;
CLOPIDOGREL;;4.21;;I;II;300.0;0.051;
INOGATRAN;;-0.01;;III;III;;;
ANTYPIRINE;20.1;0.204;;III;I;;;
FLUVASTATIN;;4.05;;I;I;40.0;2.0;
HYDROCHLOROTHIAZIDE;0.1;-0.36;III;III;III;50.0;0.64;III
PARACETAMOL;3.3;0.49;III;IV;I;500.0;23.7;I
FEXOFENADINE;;1.96;;I;III;;;
AMOXICILLIN;1.5;-1.87;I;III;III;500.0;4.0;I
FUROSEMIDE;0.6;1.9;IV;II/IV;IV;40.0;0.01;II/IV
CREATININE;;-1.77;;III;III;;;
NAPROXEN;24.3;2.82;;I;II;500.0;0.115;
LAMIVUDINE;1.75;-1.46;I/III;III;III;300.0;70.0;III
ABACAVIR SULFATE;;0.58;III;III;III;300.0;77.0;III
ACETYLSALICYLIC ACID;3.8;1.02;III;III;I;500.0;3.33;I
ALBENDAZOLE;;3.4610000000000003;II/IV;II;II;400.0;0.01;II/IV
AMIODARONE;;8.94;;II;II;400.0;0.7;
AMLODIPINE;;3.43;;I/III;I;5.0;1.97;I
AMODIAQUINE;;4.94;;I;III;200.0;3.2;I/III
ANASTROZOLE;;1.48;;I;I;1.0;0.5;
ARTEMETHER;;3.05;II/IV;I;II/IV;20.0;1.0;III/IV
CHLOROQUINE ;2.0;5.06;I;I;I;150.0;100.0;I
CHLORPROMAZINE HYDROCHLORIDE;11.8;5.8;II/IV;I;I;100.0;50.0;III
CIMETIDINE;0.0;0.35;III;III;III;;;
CIPROFLOXACIN HYDROCHLORIDE;;-1.15;II/IV;III;IV;250.0;0.16;I/III
CLINDAMYCIN HYDROCHLORIDE;;2.57;;I/III;I;150.0;40.0;I
CLOMIPHENE CITRATE;;7.15;I/III;I;I;50.0;1.06;I/III
CLOXACILLIN;;2.2;III;I;III;1000.0;100.0;III
CLOZAPINE;;3.71;;II;II;200.0;0.19;
CYCLIZINE;;3.8;;I;I;50.0;8.7;
CYCLOPHOSPHAMIDE;;0.93;I;III;I;25.0;31.7;I
