Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
CHLORAMPHENICOL;6.7;1.28;III;III;I;250.0;2.5;III
CHLOROQUINE ;2.0;5.06;I;I;I;150.0;100.0;I
CHLORPROMAZINE HYDROCHLORIDE;11.8;5.8;II/IV;I;I;100.0;50.0;III
CLINDAMYCIN HYDROCHLORIDE;;2.57;;I/III;I;150.0;40.0;I
CLOMIPRAMINE;;5.92;I/III;;I;25.0;100.0;I/III
CODEINE PHOSPHATE;;0.98;III;III;I;60.0;120.0;III
DESIPRAMINE;14.6;4.47;;I;I;150.0;25.0;
DIETHYLCARBAMAZINE;;1.62;I;I/III;I;100.0;63.7;I
ETHIONAMIDE;14.6;1.73;;I/III;I;250.0;5.03;I/III
ETHOSUXIMIDE;;0.4;I;III;I;250.0;100.0;I/III
HYDROXYCHLOROQUINE SULFATE;;4.12;;I;I;200.0;20.0;
LEVAMISOLE;;1.84;I/III;I;I;150.0;5.1;I/III
METOPROLOL TARTRATE;3.5;1.35;I;I;I;100.0;43.0;I
QUININE SULFATE;;2.79;I/III;I;I;300.0;1.3;I
SALICYLIC ACID;21.5;2.19;;I/III;I;300.0;2.51;
CHLORPROMAZINE;11.8;5.8;II/IV;I;I;200.0;50.0;III
FLECAINIDE;;3.66;;I;I;150.0;48.4;
METHYLPHENIDATE;;2.56;;I;I;20.0;100.0;
NALTREXONE CLORHIDRATE;;0.36;;III;I;100.0;100.0;
PENTOXIFYLLINE ;;0.11599999999999999;;III;I;400.0;77.0;
QUINACRINE;;6.72;;I;I;300.0;10.0;
QUINIDINE;;1.57;;I;I;300.0;11.0;I/III
TIANEPTINE;;1.52;;I;I;40.0;92.0;
