Compound;BCS-OMS;Smin;Dmax;BCS-Final;BCS-Kasim;BCS-Lindenberg
ACYCLOVIR;III;2.5;4.0;III;III;III
AMILORIDE HYDROCHLORIDE;I;50.0;5.0;III;III;I
AMITRIPTYLINE;I;0.9;75.0;I;I;I/II
AMLODIPINE;I;1.97;5.0;I;I/III;
ANASTROZOLE;;0.5;1.0;I;I;
ARTEMETHER;III/IV;1.0;20.0;II/IV;I;II/IV
ARTESUNATE;II/IV;0.1;50.0;II/IV;II;
ATENOLOL;III;24.8;100.0;III;III;III
AZATHIOPRINE;II/IV;0.124;50.0;II/IV;IV;IV
BENSERAZIDE;;10.0;50.0;I/III;III;
BENZNIDAZOLE;III;0.4;100.0;I;III;I
BICALUTAMIDE;;0.005;50.0;II;II;
BIPERIDEN HYDROCHLORIDE;I/III;1.0;2.0;I;I;III
BISOPROLOL;;2.24;5.0;I;I;
CARBIDOPA;I/III;1.0;25.0;I;III;I
CHLORAMBUCIL;I/III;0.01;2.0;I;I;
CLOFAZIMINE;III/IV;0.052000000000000005;100.0;II/IV;II;II/IV
CLOMIPHENE CITRATE;I/III;1.06;50.0;I;I;I/III
CYCLIZINE;;8.7;50.0;I;I;
CYCLOPHOSPHAMIDE;I;31.7;25.0;I;III;I
CYCLOSPORINE;III/IV;0.01;50.0;II;II;
DACLATASVIR;;0.004;60.0;IV;II;
DAPSONE;II;0.23;100.0;II;IV;II
DELAMANID;;0.1;50.0;II;II;
DEXAMETHASONE;;0.1;4.0;I;I/III;I/III
DIAZEPAM;I;0.05;10.0;I;II;I
DIGOXIN;I;0.99;0.25;III;I/III;I
DOXYCYCLINE HYCLATE;I;28.0;100.0;I;IV;I
EFAVIRENZ;II/IV;0.005;0.33;II;II;II/IV
ENALAPRIL MALEATE;III;25.0;20.0;I;I/III;
ENTECAVIR;;2.4;1.0;III;III;
ETHINYL ESTRADIOL;I/III;0.01;0.03;I;I;I/III
ETOPOSIDE;II/IV;0.22;100.0;IV;IV;
FLUCONAZOLE;I;6.9;50.0;I;III;I
FLUDARABINE;;3.53;10.0;III;III;
FLUDROCORTISONE;;0.09;0.1;I;I/III;
FLUOXETINE HYDROCHLORIDE;;15.2;20.0;I;I;
FLUVASTATIN;;2.0;40.0;I;I;
FOLIC ACID;I/III;0.01;5.0;IV;III;II/IV
FUROSEMIDE;II/IV;0.01;40.0;IV;II/IV;IV
GLICLAZIDE;;0.004;80.0;II;II/IV;
GLYCERYL TRINITRATE;I/III;1.48;0.5;III;III;I/III
HALOPERIDOL;III/IV;0.01;5.0;II;II;II/IV
HYDRALAZINE HYDROCHLORIDE;III;44.2;50.0;III;III;III
HYDROCHLOROTHIAZIDE;III;0.64;50.0;III;III;III
HYDROCORTISONE;;0.39;20.0;I;I/III;
ISOSORBIDE DINITRATE;I/III;0.55;5.0;III;III;I/III
ISOTRETINOIN;;0.01;40.0;II;II;
IVERMECTIN;II/IV;0.0007;3.0;II;II;II/IV
KETOPROFEN;;0.18;75.0;II;II;
LEDIPASVIR;;0.0018;90.0;;II;
LEVONORGESTREL;I;0.01;1.5;I;I;I
LEVOTHYROXINE SODIUM SALT;III;0.12;0.3;III;I;III
LOPERAMIDE;;1.4;2.0;III;I;
LORATADINE;;0.01;10.0;II;II;
LOSARTAN;;0.048;100.0;IV;I;
LUMEFANTRINE;III/IV;1.0;120.0;II/IV;I;II/IV
MEDROXYPROGESTERONE ACETATE;I/III;0.022000000000000002;5.0;IV;II;
MERCAPTOPURINE;II/IV;0.124;50.0;II;IV;
METHOTREXATE;III;0.45;15.0;III;III;III
METOCLOPRAMIDE HYDROCHLORIDE;III;0.04;10.0;III;I/III;I/III
MIDAZOLAM;;0.27;15.0;I;I;
MISOPROSTOL;III/IV;0.002;0.2;I/III;I;
MORPHINE SULFATE;I/III;0.27;10.0;III;III;I/III
NIFEDIPINE;II;0.008;10.0;II;II;II
NITROFURANTOIN;II;0.16;100.0;II/IV;IV;II
NORETHISTERONE;I;0.01;1.0;I;I;I
OMBITASVIR;;0.01;12.5;II/IV;;
OMEPRAZOLE;;0.5;40.0;I;I;
ONDANSETRON;;5.7;8.0;I;I/III;
OSELTAMIVIR PHOSPHATE;;5.88;75.0;I/III;I/III;
PARITAPRAVIR;;0.01;75.0;II;;
PHENOBARBITAL;I;0.01;100.0;I;I/III;I
PHENYTOIN;II;0.03;100.0;II;II;II
PIROXICAM;II;0.053;20.0;II;II/IV;
PREDNISOLONE;I;0.24;25.0;I;I;I
PRIMAQUINE;I;8.8;15.0;I;I/III;I
PROCARBAZINE HYDROCHLORIDE;I/III;1.5;50.0;I;III;
PROGUANIL;I;9.09;100.0;I;I;I
PROPRANOLOL;I;39.52;40.0;I;I;I
PROPYLTHIOURACIL;I;1.2;50.0;I;III;III
PYRIMETHAMINE;III/IV;0.12;25.0;I/III;II/IV;II/IV
RISPERIDONE;;0.08;6.0;I;I;
