Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
AMITRIPTYLINE;;4.85;I/II;I;I;75.0;0.9;I
AMLODIPINE;;3.43;;I/III;I;5.0;1.97;I
ANASTROZOLE;;1.48;;I;I;1.0;0.5;
BENZNIDAZOLE;;1.38;I;III;I;100.0;0.4;III
BIPERIDEN HYDROCHLORIDE;;4.94;III;I;I;2.0;1.0;I/III
BISOPROLOL;;1.83;;I;I;5.0;2.24;
CARBIDOPA;;-0.445;I;III;I;25.0;1.0;I/III
CHLORAMBUCIL;;3.63;;I;I;2.0;0.01;I/III
CLOMIPHENE CITRATE;;7.15;I/III;I;I;50.0;1.06;I/III
CYCLIZINE;;3.8;;I;I;50.0;8.7;
CYCLOPHOSPHAMIDE;;0.93;I;III;I;25.0;31.7;I
DEXAMETHASONE;8.1;1.79;I/III;I/III;I;4.0;0.1;
DIAZEPAM;;3.17;I;II;I;10.0;0.05;I
DOXYCYCLINE HYCLATE;;-3.66;I;IV;I;100.0;28.0;I
ENALAPRIL MALEATE;3.4;0.67;;I/III;I;20.0;25.0;III
ETHINYL ESTRADIOL;;3.86;I/III;I;I;0.03;0.01;I/III
FLUCONAZOLE;;0.53;I;III;I;50.0;6.9;I
FLUDROCORTISONE;;1.73;;I/III;I;0.1;0.09;
FLUOXETINE HYDROCHLORIDE;;;;I;I;20.0;15.2;
FLUVASTATIN;;4.05;;I;I;40.0;2.0;
HYDROCORTISONE;3.4;1.89;;I/III;I;20.0;0.39;
LEVONORGESTREL;;3.31;I;I;I;1.5;0.01;I
MIDAZOLAM;10.0;3.42;;I;I;15.0;0.27;
NORETHISTERONE;;;I;I;I;1.0;0.01;I
OMEPRAZOLE;;2.56;;I;I;40.0;0.5;
ONDANSETRON;;2.72;;I/III;I;8.0;5.7;
PHENOBARBITAL;;1.37;I;I/III;I;100.0;0.01;I
PREDNISOLONE;5.7;3.5;I;I;I;25.0;0.24;I
PRIMAQUINE;;2.6;I;I/III;I;15.0;8.8;I
PROCARBAZINE HYDROCHLORIDE;;-0.083;;III;I;50.0;1.5;I/III
PROGUANIL;;1.16;I;I;I;100.0;9.09;I
PROPRANOLOL;23.5;2.75;I;I;I;40.0;39.52;I
PROPYLTHIOURACIL;;-0.03;III;III;I;50.0;1.2;I
RISPERIDONE;;2.71;;I;I;6.0;0.08;
STAVUDINE;;-0.73;I;III;I;30.0;76.0;I
TAMOXIFEN;;6.82;;I;I;20.0;0.5;I
VERAPAMIL;9.7;4.47;I/II;I;I;120.0;11.0;II
RIBOFLAXIN;;-0.73;I;;I;5.0;0.085;I
PYRIDOXINE;;-0.8;I;III;I;25.0;1.0;I
ZIDOVUDINE;4.9;0.04;I;III;I;0.83;18.65;I
ALPRAZOLAM;;2.55;;I;I;3.0;0.073;
AMANTADINE;;1.995;;I/III;I;100.0;2.12;
BUSULFAN;;-0.5962;;III;I;2.0;0.1;
CYPROHEPTADINE;;5.3;;I;I;4.0;3.64;I
CLOBAZAM;;2.44;;I;I;20.0;0.188;
CLOMIPHENE;;7.15;I/III;I;I;50.0;1.06;I/III
CLONAZEPAM;;2.38;;I;I;2.0;0.1;
CLONIDINE;20.0;1.73;;I;I;0.3;76.9;
CHLORDIAZEPOXIDE;;2.4;;I;I;25.0;1.99;
DIPHENHYDRAMINE;;3.45;;I;I;50.0;3.06;
DILTIAZEM;18.5;3.65;;I;I;120.0;0.51;
LETROZOLE;;1.43;;I;I;2.5;0.04;
MELPHALAN;10.2;-0.21;;I/III;I;2.0;0.1;
OXYBUTYNIN;;4.87;;I;I;10.0;0.8;
PREDNISONE;;1.66;;I/III;I;10.0;0.133;I
SALBUTAMOL;;0.06;I;III;I;4.0;17.7;I
SERTRALINE;;5.35;;I;I;100.0;3.8;
SILDENAFIL;;1.98;;I/III;I;100.0;3.5;
TRAMADOL;;3.1;;I;I;50.0;30.0;
TRIFLUOPERAZINE;;4.69;;I;I;10.0;50.0;
TRIHEXIPHENYDIL;;5.15;;I;I;5.0;1.0;
