Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
ACETYLSALICYLIC ACID;3.8;1.02;III;III;I;500.0;3.33;I
CAPECITABINE;;0.84;;III;I;500.0;26.0;
LEVODOPA;;-2.82;I;III;I;500.0;3.08;I
LEVOFLOXACIN;0.02;-0.508;;III;I;750.0;30.0;I
LINEZOLID;0.05;0.17;;III;I;600.0;8.0;
METRONIDAZOLE;0.59;-2.33;I;III;I;500.0;11.6;I
PARACETAMOL;3.3;0.49;III;IV;I;500.0;23.7;I
VALACYCLOVIR;;-1.22;;III;I;1000.0;174.0;
CHLOROQUINE;;5.06;I;I;I;500.0;100.0;I
OFLOXACIN;6.3;-0.508;;III;I;400.0;3.23;I
QUETIAPINE;;2.96;;I;I;400.0;3.29;
THEOPHYLLINE;4.8;-0.03;I;IV;I;600.0;8.3;
