Compound;PAMPA;CLogP;BCS-Lindenberg;BCS-Kasim;BCS-Final;Dmax;Smin;BCS-OMS
ACYCLOVIR;0.0;-2.42;III;III;III;4.0;2.5;III
AMILORIDE HYDROCHLORIDE;;-2.22;I;III;III;5.0;50.0;I
AMITRIPTYLINE;;4.85;I/II;I;I;75.0;0.9;I
AMLODIPINE;;3.43;;I/III;I;5.0;1.97;I
ANASTROZOLE;;1.48;;I;I;1.0;0.5;
ARTEMETHER;;3.05;II/IV;I;II/IV;20.0;1.0;III/IV
ARTESUNATE;;2.93;;II;II/IV;50.0;0.1;II/IV
ATENOLOL;0.1;-0.11;III;III;III;100.0;24.8;III
AZATHIOPRINE;;0.51;IV;IV;II/IV;50.0;0.124;II/IV
BENSERAZIDE;;-2.89;;III;I/III;50.0;10.0;
BENZNIDAZOLE;;1.38;I;III;I;100.0;0.4;III
BICALUTAMIDE;;2.71;;II;II;50.0;0.005;
BIPERIDEN HYDROCHLORIDE;;4.94;III;I;I;2.0;1.0;I/III
BISOPROLOL;;1.83;;I;I;5.0;2.24;
CARBIDOPA;;-0.445;I;III;I;25.0;1.0;I/III
CHLORAMBUCIL;;3.63;;I;I;2.0;0.01;I/III
CLOFAZIMINE;2.58;7.5;II/IV;II;II/IV;100.0;0.052000000000000005;III/IV
CLOMIPHENE CITRATE;;7.15;I/III;I;I;50.0;1.06;I/III
CYCLIZINE;;3.8;;I;I;50.0;8.7;
CYCLOPHOSPHAMIDE;;0.93;I;III;I;25.0;31.7;I
CYCLOSPORINE;0.3;11.5;;II;II;50.0;0.01;III/IV
DACLATASVIR;44.2;4.72;;II;IV;60.0;0.004;
DAPSONE;;0.89;II;IV;II;100.0;0.23;II
DELAMANID;;5.25;;II;II;50.0;0.1;
DEXAMETHASONE;8.1;1.79;I/III;I/III;I;4.0;0.1;
DIAZEPAM;;3.17;I;II;I;10.0;0.05;I
DIGOXIN;;1.27;I;I/III;III;0.25;0.99;I
DOXYCYCLINE HYCLATE;;-3.66;I;IV;I;100.0;28.0;I
EFAVIRENZ;;4.95;II/IV;II;II;0.33;0.005;II/IV
ENALAPRIL MALEATE;3.4;0.67;;I/III;I;20.0;25.0;III
ENTECAVIR;;-2.76;;III;III;1.0;2.4;
ETHINYL ESTRADIOL;;3.86;I/III;I;I;0.03;0.01;I/III
ETOPOSIDE;0.46;0.03;;IV;IV;100.0;0.22;II/IV
FLUCONAZOLE;;0.53;I;III;I;50.0;6.9;I
FLUDARABINE;;-2.0;;III;III;10.0;3.53;
FLUDROCORTISONE;;1.73;;I/III;I;0.1;0.09;
FLUOXETINE HYDROCHLORIDE;;;;I;I;20.0;15.2;
FLUVASTATIN;;4.05;;I;I;40.0;2.0;
FOLIC ACID;;-2.31;II/IV;III;IV;5.0;0.01;I/III
FUROSEMIDE;0.6;1.9;IV;II/IV;IV;40.0;0.01;II/IV
GLICLAZIDE;;0.85;;II/IV;II;80.0;0.004;
GLYCERYL TRINITRATE;;-5.76;I/III;III;III;0.5;1.48;I/III
HALOPERIDOL;;3.85;II/IV;II;II;5.0;0.01;III/IV
HYDRALAZINE HYDROCHLORIDE;;1.17;III;III;III;50.0;44.2;III
HYDROCHLOROTHIAZIDE;0.1;-0.36;III;III;III;50.0;0.64;III
HYDROCORTISONE;3.4;1.89;;I/III;I;20.0;0.39;
ISOSORBIDE DINITRATE;;-5.54;I/III;III;III;5.0;0.55;I/III
ISOTRETINOIN;;6.74;;II;II;40.0;0.01;
IVERMECTIN;;5.38;II/IV;II;II;3.0;0.0007;II/IV
KETOPROFEN;19.1;2.76;;II;II;75.0;0.18;
LEDIPASVIR;;6.77;;II;;90.0;0.0018;
LEVONORGESTREL;;3.31;I;I;I;1.5;0.01;I
LEVOTHYROXINE SODIUM SALT;;3.51;III;I;III;0.3;0.12;III
LOPERAMIDE;5.8;4.66;;I;III;2.0;1.4;
LORATADINE;9.1;5.05;;II;II;10.0;0.01;
LOSARTAN;;5.02;;I;IV;100.0;0.048;
LUMEFANTRINE;;10.2;II/IV;I;II/IV;120.0;1.0;III/IV
MEDROXYPROGESTERONE ACETATE;;4.2;;II;IV;5.0;0.022000000000000002;I/III
MERCAPTOPURINE;;-1.33;;IV;II;50.0;0.124;II/IV
METHOTREXATE;0.2;-0.53;III;III;III;15.0;0.45;III
METOCLOPRAMIDE HYDROCHLORIDE;;2.23;I/III;I/III;III;10.0;0.04;III
MIDAZOLAM;10.0;3.42;;I;I;15.0;0.27;
MISOPROSTOL;;3.07;;I;I/III;0.2;0.002;III/IV
MORPHINE SULFATE;;-0.22;I/III;III;III;10.0;0.27;I/III
NIFEDIPINE;11.0;3.41;II;II;II;10.0;0.008;II
NITROFURANTOIN;;-0.47;II;IV;II/IV;100.0;0.16;II
NORETHISTERONE;;;I;I;I;1.0;0.01;I
OMBITASVIR;;;;;II/IV;12.5;0.01;
OMEPRAZOLE;;2.56;;I;I;40.0;0.5;
ONDANSETRON;;2.72;;I/III;I;8.0;5.7;
OSELTAMIVIR PHOSPHATE;;2.13;;I/III;I/III;75.0;5.88;
PARITAPRAVIR;;;;;II;75.0;0.01;
PHENOBARBITAL;;1.37;I;I/III;I;100.0;0.01;I
PHENYTOIN;;2.08;II;II;II;100.0;0.03;II
PIROXICAM;8.4;1.98;;II/IV;II;20.0;0.053;II
PREDNISOLONE;5.7;3.5;I;I;I;25.0;0.24;I
PRIMAQUINE;;2.6;I;I/III;I;15.0;8.8;I
PROCARBAZINE HYDROCHLORIDE;;-0.083;;III;I;50.0;1.5;I/III
PROGUANIL;;1.16;I;I;I;100.0;9.09;I
PROPRANOLOL;23.5;2.75;I;I;I;40.0;39.52;I
PROPYLTHIOURACIL;;-0.03;III;III;I;50.0;1.2;I
PYRIMETHAMINE;;3.0;II/IV;II/IV;I/III;25.0;0.12;III/IV
RISPERIDONE;;2.71;;I;I;6.0;0.08;
RITONAVIR;;4.94;IV;II;II;100.0;0.01;II/IV
SIMVASTATIN;;3.64;;II;II;40.0;0.03;
SPIRONOLACTONE;;2.25;II/IV;II;II;25.0;0.02;III/IV
STAVUDINE;;-0.73;I;III;I;30.0;76.0;I
TALINOLOL;;3.15;;I;III;100.0;4.5;
TAMOXIFEN;;6.82;;I;I;20.0;0.5;I
THIOGUANINE;;-1.88;;III;I/III;40.0;0.2;
VERAPAMIL;9.7;4.47;I/II;I;I;120.0;11.0;II
RETINOL;;6.4;II/IV;II;II;110.0;0.01;II/IV
RIBOFLAXIN;;-0.73;I;;I;5.0;0.085;I
PYRIDOXINE;;-0.8;I;III;I;25.0;1.0;I
ERGOCALCIFEROL;;6.59;III;;III;1.25;0.05;III
THIAMINE HIDROCHLORIDE;;-5.9670000000000005;III;III;III;50.0;33.0;III
WARFARIN SODIUM;12.3;2.9;I/II;I;II;0.1;0.018000000000000002;I
ZIDOVUDINE;4.9;0.04;I;III;I;0.83;18.65;I
RETINOIC ACID;;6.74;;II;II;40.0;0.07;
ALENDRONATE SODIUM;;-5.64;;III;III;70.0;33.0;
ALPRAZOLAM;;2.55;;I;I;3.0;0.073;
AMANTADINE;;1.995;;I/III;I;100.0;2.12;
ATORVASTATIN;;1.5;;II;II;80.0;0.02;
BACLOFEN;;-0.62;;III;III;20.0;2.1;
BIOTIN;;-1.33;;III;III;5.0;0.22;
BISACODYL;;2.85;;II;II/IV;5.0;0.01;
BROMOCRIPTINE MESYLATE;;6.58;;I;I/III;5.0;0.8;
BUSULFAN;;-0.5962;;III;I;2.0;0.1;
CABERGOLINE;;4.17;;I/III;I/III;1.0;0.01;
CARVEDILOL;;4.04;;II;II;25.0;0.003;
CYPROHEPTADINE;;5.3;;I;I;4.0;3.64;I
CYPROTERONE ACETATE;;3.42;;II;II;50.0;0.01;
CLOBAZAM;;2.44;;I;I;20.0;0.188;
CLOMIPHENE;;7.15;I/III;I;I;50.0;1.06;I/III
CLONAZEPAM;;2.38;;I;I;2.0;0.1;
CLONIDINE;20.0;1.73;;I;I;0.3;76.9;
CHLORDIAZEPOXIDE;;2.4;;I;I;25.0;1.99;
CHLORTHALIDONE;;0.44799999999999995;;II/IV;IV;100.0;0.12;
COLCHICINE;;1.2;III;III;III;0.6;45.0;
CORTISONE;;-0.93;;III;III;25.0;0.21600000000000003;
DIAZOXIDE;;1.42;;II/IV;II;100.0;0.15;
DIETHYLSTILBESTROL;;4.96;;I;II;5.0;0.02;
DIPHENHYDRAMINE;;3.45;;I;I;50.0;3.06;
DIHYDRALAZINE;;1.75;;I/III;I/III;50.0;1.0;
DILTIAZEM;18.5;3.65;;I;I;120.0;0.51;
DIPYRIDAMOLE;;1.49;;II;II;75.0;0.005;
DOMPERIDONE;;4.27;;II;II;20.0;0.017;
EVEROLIMUS;;7.1;;I;III;1.0;0.01;
FENOTEROL;;0.98;;I/III;III;5.0;3.03;
FLUPHENAZINE;;4.11;;II;II;10.0;0.031;
GLIBENCLAMIDE;;4.24;II/IV;II;II;10.0;0.01;II/IV
GLIMEPIRIDE;;3.96;;II;II;4.0;0.0012;
IMIPRAMINE;12.9;5.04;;II;II;50.0;0.0182;
INDOMETHACIN;6.3;4.18;;II;II;50.0;0.0025;
ITRACONAZOLE;;5.99;;II;II;100.0;0.01;
KETOTIFEN;;3.59;;I/III;I/III;1.0;1.0;
LETROZOLE;;1.43;;I;I;2.5;0.04;
LEVOMEPROMAZINE;;4.83;;II;II;25.0;0.02;
MECLIZINE;;6.73;;II;II/IV;50.0;0.01;
MEDAZEPAM;;4.12;;II;II/IV;10.0;0.01;
MELPHALAN;10.2;-0.21;;I/III;I;2.0;0.1;
METHANDIENONE;;4.1;;II;II;25.0;0.01;
MONTELUKAST;;8.47;;I;II;10.0;0.01;
NIMODIPINE;;4.0;;II;II;30.0;0.0023;
NYSTATIN;;-3.2;III/IV;III;IV;100.0;0.01;
NITRAZEPAM;;2.32;;I/III;I/III;10.0;0.043;
OLANZAPINE;;3.88;;II;II;20.0;0.01;
OXYBUTYNIN;;4.87;;I;I;10.0;0.8;
PIMOZIDE;;6.4;;II;II/IV;4.0;0.003;
PREDNISONE;;1.66;;I/III;I;10.0;0.133;I
SALBUTAMOL;;0.06;I;III;I;4.0;17.7;I
SERTRALINE;;5.35;;I;I;100.0;3.8;
SILDENAFIL;;1.98;;I/III;I;100.0;3.5;
TACROLIMUS;;5.78;;II;II;5.0;0.012;
TERAZOSIN;;2.18;;I/III;III;10.0;24.2;
TRAMADOL;;3.1;;I;I;50.0;30.0;
TRIFLUOPERAZINE;;4.69;;I;I;10.0;50.0;
TRIHEXIPHENYDIL;;5.15;;I;I;5.0;1.0;
